date_time,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,temp_c,holiday_raw,is_us_federal_holiday
2012-10-02 09:00:00,,288.28,0.0,0.0,40.0,clouds,scattered clouds,5545.0,15.129999999999995,,False
2012-10-02 10:00:00,,289.36,0.0,0.0,75.0,clouds,broken clouds,4516.0,16.210000000000036,,False
2012-10-02 11:00:00,,289.58,0.0,0.0,90.0,clouds,overcast clouds,4767.0,16.430000000000007,,False
2012-10-02 12:00:00,,290.13,0.0,0.0,90.0,clouds,overcast clouds,5026.0,16.980000000000018,,False
2012-10-02 13:00:00,,291.14,0.0,0.0,75.0,clouds,broken clouds,4918.0,17.99000000000001,,False
2012-10-02 14:00:00,,291.72,0.0,0.0,1.0,clear,sky is clear,5181.0,18.57000000000005,,False
2012-10-02 15:00:00,,293.17,0.0,0.0,1.0,clear,sky is clear,5584.0,20.02000000000004,,False
2012-10-02 16:00:00,,293.86,0.0,0.0,1.0,clear,sky is clear,6015.0,20.710000000000036,,False
2012-10-02 17:00:00,,294.14,0.0,0.0,20.0,clouds,few clouds,5791.0,20.99000000000001,,False
2012-10-02 18:00:00,,293.1,0.0,0.0,20.0,clouds,few clouds,4770.0,19.950000000000045,,False
2012-10-02 19:00:00,,290.97,0.0,0.0,20.0,clouds,few clouds,3539.0,17.82000000000005,,False
2012-10-02 20:00:00,,289.38,0.0,0.0,1.0,clear,sky is clear,2784.0,16.230000000000018,,False
2012-10-02 21:00:00,,288.61,0.0,0.0,1.0,clear,sky is clear,2361.0,15.460000000000036,,False
2012-10-02 22:00:00,,287.16,0.0,0.0,1.0,clear,sky is clear,1529.0,14.010000000000048,,False
2012-10-02 23:00:00,,285.45,0.0,0.0,1.0,clear,sky is clear,963.0,12.300000000000011,,False
2012-10-03 00:00:00,,284.63,0.0,0.0,1.0,clear,sky is clear,506.0,11.480000000000018,,False
2012-10-03 01:00:00,,283.47,0.0,0.0,1.0,clear,sky is clear,321.0,10.32000000000005,,False
2012-10-03 02:00:00,,281.18,0.0,0.0,1.0,clear,sky is clear,273.0,8.03000000000003,,False
2012-10-03 03:00:00,,281.09,0.0,0.0,1.0,clear,sky is clear,367.0,7.939999999999998,,False
2012-10-03 04:00:00,,279.53,0.0,0.0,1.0,clear,sky is clear,814.0,6.3799999999999955,,False
2012-10-03 05:00:00,,278.62,0.0,0.0,1.0,clear,sky is clear,2718.0,5.470000000000027,,False
2012-10-03 06:00:00,,278.23,0.0,0.0,1.0,clear,sky is clear,5673.0,5.080000000000041,,False
2012-10-03 08:00:00,,278.12,0.0,0.0,1.0,clear,sky is clear,6511.0,4.970000000000027,,False
2012-10-03 09:00:00,,282.48,0.0,0.0,1.0,clear,sky is clear,5471.0,9.330000000000041,,False
2012-10-03 12:00:00,,291.97,0.0,0.0,1.0,clear,sky is clear,5097.0,18.82000000000005,,False
2012-10-03 13:00:00,,293.23,0.0,0.0,1.0,clear,sky is clear,4887.0,20.08000000000004,,False
2012-10-03 14:00:00,,294.31,0.0,0.0,1.0,clear,sky is clear,5337.0,21.160000000000025,,False
2012-10-03 15:00:00,,295.17,0.0,0.0,1.0,clear,sky is clear,5692.0,22.02000000000004,,False
2012-10-03 16:00:00,,295.13,0.0,0.0,1.0,clear,sky is clear,6137.0,21.980000000000018,,False
2012-10-03 18:00:00,,293.66,0.0,0.0,20.0,clouds,few clouds,4623.0,20.510000000000048,,False
2012-10-03 19:00:00,,290.65,0.0,0.0,20.0,clouds,few clouds,3591.0,17.5,,False
2012-10-03 20:00:00,,288.19,0.0,0.0,20.0,clouds,few clouds,2898.0,15.04000000000002,,False
2012-10-03 21:00:00,,287.1,0.0,0.0,1.0,clear,sky is clear,2637.0,13.950000000000045,,False
2012-10-03 22:00:00,,286.25,0.0,0.0,1.0,clear,sky is clear,1777.0,13.100000000000023,,False
2012-10-03 23:00:00,,285.26,0.0,0.0,1.0,clear,sky is clear,1015.0,12.110000000000014,,False
2012-10-04 00:00:00,,284.55,0.0,0.0,1.0,clear,sky is clear,598.0,11.400000000000034,,False
2012-10-04 01:00:00,,283.47,0.0,0.0,1.0,clear,sky is clear,369.0,10.32000000000005,,False
2012-10-04 02:00:00,,283.17,0.0,0.0,1.0,clear,sky is clear,312.0,10.020000000000039,,False
2012-10-04 03:00:00,,282.04,0.0,0.0,1.0,clear,sky is clear,367.0,8.890000000000043,,False
2012-10-04 04:00:00,,281.69,0.0,0.0,1.0,clear,sky is clear,835.0,8.54000000000002,,False
2012-10-04 05:00:00,,281.32,0.0,0.0,1.0,clear,sky is clear,2726.0,8.170000000000016,,False
2012-10-04 06:00:00,,280.74,0.0,0.0,1.0,clear,sky is clear,5689.0,7.590000000000032,,False
2012-10-04 07:00:00,,280.57,0.0,0.0,1.0,clear,sky is clear,6990.0,7.420000000000016,,False
2012-10-04 08:00:00,,281.86,0.0,0.0,1.0,clear,sky is clear,5985.0,8.710000000000036,,False
2012-10-04 09:00:00,,284.98,0.0,0.0,1.0,clear,sky is clear,5309.0,11.830000000000041,,False
2012-10-04 10:00:00,,289.18,0.0,0.0,1.0,clear,sky is clear,4603.0,16.03000000000003,,False
2012-10-04 11:00:00,,291.55,0.0,0.0,1.0,clear,sky is clear,4884.0,18.400000000000034,,False
2012-10-04 12:00:00,,294.97,0.0,0.0,1.0,clear,sky is clear,5104.0,21.82000000000005,,False
2012-10-04 13:00:00,,296.38,0.0,0.0,1.0,clear,sky is clear,5178.0,23.230000000000018,,False
2012-10-04 14:00:00,,297.32,0.0,0.0,1.0,clear,sky is clear,5501.0,24.170000000000016,,False
2012-10-04 15:00:00,,298.17,0.0,0.0,1.0,clear,sky is clear,5713.0,25.02000000000004,,False
2012-10-04 16:00:00,,298.06,0.0,0.0,20.0,clouds,few clouds,6292.0,24.910000000000025,,False
2012-10-04 17:00:00,,297.67,0.0,0.0,20.0,clouds,few clouds,6057.0,24.52000000000004,,False
2012-10-04 18:00:00,,296.36,0.0,0.0,40.0,clouds,scattered clouds,4907.0,23.210000000000036,,False
2012-10-04 19:00:00,,293.85,0.0,0.0,40.0,clouds,scattered clouds,3503.0,20.700000000000045,,False
2012-10-04 20:00:00,,292.43,0.0,0.0,40.0,clouds,scattered clouds,3037.0,19.28000000000003,,False
2012-10-04 21:00:00,,291.77,0.0,0.0,75.0,clouds,broken clouds,2822.0,18.620000000000005,,False
2012-10-04 22:00:00,,291.36,0.0,0.0,75.0,clouds,broken clouds,1992.0,18.210000000000036,,False
2012-10-04 23:00:00,,291.12,0.0,0.0,75.0,clouds,broken clouds,1166.0,17.970000000000027,,False
